id,name,manufacturer,scale,year,folder,material,type,desc,figures
31,Русские богатыри,Нетехнолог,1:32,2018-2019,netechnolog/russians,plastic,round,Переработанные копии оловянных фигурок EK Castings.,;;;;;;;;;;;;;;
32,Викинги,Нетехнолог,1:32,2018-2019,netechnolog/vikings,plastic,round,Переработанные копии оловянных фигурок. Описания взяты с сайта http://ekcastings.com/,"Берсерк, 9-10 век;Викинг с копьём и топором, 9-10 вв.;Викинг с копьём, 9-10 вв.;Викинг, 10 век;Викинг, 9-10 вв.;Ярл, 9-10 век;Ярл, 9-10 век;Викинг с топором, 9-10 вв.;;;"
33,Армия США,Оритет,1:32,1990-,oritet/americans,plastic,round,Солдаты армии Вашингтона времён Войны за независимость. Набор изготавливался для продажи в США.,;;;
34,Британские парашютисты,Оритет,1:35,1990-,oritet/british,plastic,round,Копия солдатиков Airfix.,;;;;;;
35,Немецкая пехота,Оритет,1:35,1990-,oritet/germans,plastic,round,Копия солдатиков Airfix.,;;;
36,Солдаты в бою,Прогресс,1:32,1980-,progress/soldaty_v_boyu,plastic,round,"Солдатики выпускались в картонной коробке, минимально окрашенные. Покрас авторский.","Солдат-знаменосец;Солдат с винтовкой и гранатой;Солдат, стреляющий стоя;Командир;Солдат в атаке;Солдат-часовой;Солдат с автоматом и гранатой;Солдат, стреляющий сидя;Раненый солдат"
37,Солдаты в походе,ЛКЗ,1:32,1980-,lkz/v_pohode,metal,flat,Скульптор Л. С. Разумовский.,Командир;Автоматчик
38,Красная конница,ЛПО Игрушка,1:32,1975-1991,lpo_igrushka/red_cavalry_2,plastic,flat,Скульптор Б. Д. Савельев.,"Будённовец со знаменем;Будённовец, бьющий шашкой;Будённовец с горном;Командир;Будённовец с шашкой вперёд;Будённовец, замахивающийся шашкой;Будённовец с шашкой вперёд;Будённовец с шашкой вперёд"
39,Солдаты,ЛПО Игрушка,1:25,1968-,lpo_igrushka/soldaty,plastic,flat,Набор состоял из 8 фигур в 4 позах.,"Солдат-знаменосец;Солдат с автоматом, атакующий;Солдат с гранатой;Солдат с винтовкой, атакующий"
40,Конница 1812 года (набор №1),Малыш,1:32,1983-,malysh/1812_cavalry/1,plastic,flat,"Скульптор Б. Д. Савельев. Разные выпуски различались качеством пластика (плотный и полупрозрачный), ценой (12к. ранние и 11к. поздние), а также множеством мелких деталей.",;;;;;;;;;;
41,Тачанка,ЛПО Игрушка,1:32,1967-,lpo_igrushka/tachanka,plastic,flat,Скульптор Б. Д. Савельев. Выпускалась также в металле в составе набора «Конармия»,Тачанка с двумя конями;Тачанка с двумя конями (вариант);Тачанка с двумя конями (вариант)
42,Ковбои,Польша,1:32,1980?-,poland/cowboys,plastic,round,,Ковбой с ружьем;Убегающий ковбой;Ковбой с пистолетом;Ковбой без ничего;Ковбой с двумя пистолетами;Ковбой на одном колене
43,Русские гренадёры 1812 года,Уфимский солдатик,1:32,2018?,ufimskiy/grenadery,plastic,round,20 солдатиков в 4 позах,;;;
